Asset Name,Asset Type,Cloud,Critical Alerts,High Alerts,Medium Alerts,Low Alerts,Informational Alerts,Critical Vulnerability,High Vulnerability,Medium Vulnerability,Low Vulnerability,Account ID,Account Name,Asset ID,Region ID,Region,Actions
"uplus-logstash-v2","EC2 Instance","aws",1,2,1,0,0,0,0,0,0,"771097826720","anypointmedia - uplus - 771097826720","i-0e9ab245741f024b0","ap-northeast-2","AWS Seoul",
"art-device-updater-prod","EC2 Instance","aws",1,2,1,0,0,0,0,0,0,"771097826720","anypointmedia - uplus - 771097826720","i-0192b0277e7fd5edd","ap-northeast-2","AWS Seoul",
"ec2-dev-fbev-rds","EC2 Instance","aws",0,2,1,0,1,0,8,32,7,"195275648674","aws-feedback-sredev - 195275648674","i-0864f13ef99d4b072","ap-northeast-2","AWS Seoul",
"hfit_Bastion","EC2 Instance","aws",0,3,1,0,0,1,269,975,91,"759727668558","onnetsolution - 759727668558","i-0afd3c1cf476fd8c4","ap-northeast-2","AWS Seoul",
"sscare-free2_Bastion","EC2 Instance","aws",0,3,1,0,0,1,273,980,91,"759727668558","onnetsolution - 759727668558","i-06a9dbe02b9cd0edf","ap-northeast-2","AWS Seoul",
"teleport/vault","EC2 Instance","aws",3,1,0,0,0,5,157,473,36,"945142638813","UCMP-Root - 945142638813","i-076d7b74cca8b7477","ap-northeast-2","AWS Seoul",
"dev-ifn-com-network-ngfw-vpn","EC2 Instance","aws",0,2,1,0,1,0,0,0,0,"292684119330","ifn-com-network - 292684119330","i-0576bd0fe748c1d7d","ap-northeast-2","AWS Seoul",
"prd-ifn-com-network-ngfw-vpn","EC2 Instance","aws",0,2,1,0,1,0,0,0,0,"292684119330","ifn-com-network - 292684119330","i-004076057ffd12e02","ap-northeast-2","AWS Seoul",
"PRD-RCS-EKS-NODE-MAIN-v1.30","EC2 Instance","aws",0,3,1,0,0,1,72,180,15,"749191198107","aws-prd-rcs - 749191198107","i-0011c57291dca7946","ap-northeast-2","AWS Seoul",
"ec2-prod-LoadGenerator-0","EC2 Instance","aws",0,3,1,0,0,191,1888,688,41,"140441624596","serviceqa - 140441624596","i-0aafb3bf0e6899b0f","ap-northeast-2","AWS Seoul",
"ec2-prod-LoadController-0","EC2 Instance","aws",0,3,1,0,0,130,898,385,19,"140441624596","serviceqa - 140441624596","i-0d8b452bae140f0fa","ap-northeast-2","AWS Seoul",
"ec2-prod-ares-scheduler87-az2c","EC2 Instance","aws",0,3,1,0,0,26,820,1662,184,"454916155748","lgukidsland - 454916155748","i-0ffdb7c80b2c90f3c","ap-northeast-2","AWS Seoul",
"cmshareapne2-fiio-ondemand","EC2 Instance","aws",0,3,1,0,0,0,44,67,12,"532244111777","AWS_CM_SHARE - 532244111777","i-05c42cf9082745c58","ap-northeast-2","AWS Seoul",
"terraform-test","EC2 Instance","aws",0,3,1,0,0,13,133,254,23,"549518468778","Secure-zone - 549518468778","i-02814db0f6ecaeb3e","ap-northeast-2","AWS Seoul",
"cmshareapne2-fiio-ondemand-karpenter","EC2 Instance","aws",0,3,1,0,0,0,49,74,13,"532244111777","AWS_CM_SHARE - 532244111777","i-0de56a35fb05ef3f7","ap-northeast-2","AWS Seoul",
"ec2-prod-LoadGenerator-3","EC2 Instance","aws",0,3,1,0,0,191,1889,688,41,"140441624596","serviceqa - 140441624596","i-0de3df72e0dea2dfd","ap-northeast-2","AWS Seoul",
"ec2-prod-LoadGenerator-1","EC2 Instance","aws",0,3,1,0,0,191,1888,688,41,"140441624596","serviceqa - 140441624596","i-0963bcc8bb20a0831","ap-northeast-2","AWS Seoul",
"ec2-prod-LoadController-3","EC2 Instance","aws",0,3,1,0,0,164,1617,621,38,"140441624596","serviceqa - 140441624596","i-07ab6ba1a5c4ce85f","ap-northeast-2","AWS Seoul",
"sengmin","EC2 Instance","aws",0,3,1,0,0,83,505,1322,85,"549518468778","Secure-zone - 549518468778","i-0885e8675449239cf","ap-northeast-2","AWS Seoul",
"ec2-prod-LoadController-1","EC2 Instance","aws",0,3,1,0,0,176,1393,547,30,"140441624596","serviceqa - 140441624596","i-08f04e6a5bb19b6dd","ap-northeast-2","AWS Seoul",
